,background,person,car_bus_truck,motorcycle_bicycle,Speed up,Samples,Updates
JITNet 0.9,98.21,68.64,44.92,64.71,4.07,451,3608
JITNet 0.8,98.05,67.39,28.81,64.04,4.12,446,3537
JITNet 0.7,98.08,66.72,39.97,58.73,4.24,434,3402
JITNet Offline Overfit,97.83,62.84,40.72,52.27,42.86,0,0
JITNet Pretrain,97.87,63.84,43.79,55.54,42.86,0,0
Flow Slow,98.37,69.17,61.73,72.11,1.20,451,0
Flow Fast,97.65,54.76,60.62,61.40,1.20,225,0
OSVOS,97.58,47.81,0.00,0.00,1.20,3600,0
OSVOS static,97.42,43.61,0.00,0.00,1.20,3600,0
